order_detail_id,order_id,product_id,sales,units,gross_profit,cost
91,91,30,46.8,13,31.2,15.6
92,92,3,7.2,2,4.8,2.4
93,93,18,10.8,3,7.5,3.3
94,94,4,9.75,3,6.33,3.42
95,95,31,13.0,4,8.44,4.56
96,96,3,7.2,2,4.8,2.4
97,97,9,6.98,2,4.98,2.0
98,98,5,6.5,2,4.22,2.28
99,99,22,19.5,6,12.66,6.84
100,100,1,7.5,2,4.9,2.6
101,101,14,11.25,3,7.35,3.9
102,102,11,20.94,6,14.94,6.0
103,103,1,7.5,2,4.9,2.6
104,104,9,6.98,2,4.98,2.0
105,105,14,11.25,3,7.35,3.9
106,106,16,10.8,3,7.2,3.6
107,107,14,11.25,3,7.35,3.9
108,108,20,14.4,4,9.6,4.8
109,109,9,6.98,2,4.98,2.0
110,110,17,14.4,4,10.0,4.4
111,111,17,14.4,4,10.0,4.4
112,112,6,3.6,1,2.5,1.1
113,113,2,7.2,2,5.0,2.2
114,114,19,18.0,5,12.0,6.0
115,115,28,18.0,5,12.5,5.5
116,116,24,3.75,1,2.45,1.3
117,117,23,15.0,4,9.8,5.2
118,118,2,7.2,2,5.0,2.2
119,119,14,11.25,3,7.35,3.9
120,120,14,11.25,3,7.35,3.9
121,121,19,18.0,5,12.0,6.0
122,122,16,10.8,3,7.2,3.6
123,123,16,10.8,3,7.2,3.6
124,124,18,10.8,3,7.5,3.3
125,125,12,18.75,5,12.25,6.5
126,126,22,19.5,6,12.66,6.84
127,127,7,10.47,3,7.47,3.0
128,128,27,3.6,1,2.4,1.2
129,129,32,22.5,6,14.7,7.8
130,130,2,7.2,2,5.0,2.2
131,131,5,6.5,2,4.22,2.28
132,132,3,7.2,2,4.8,2.4
133,133,33,3.0,2,1.4,1.6
134,134,34,17.45,5,12.45,5.0
135,135,31,13.0,4,8.44,4.56
136,136,1,7.5,2,4.9,2.6
137,137,2,7.2,2,5.0,2.2
138,138,6,3.6,1,2.5,1.1
139,139,4,9.75,3,6.33,3.42
140,140,31,13.0,4,8.44,4.56
141,141,2,7.2,2,5.0,2.2
142,142,2,7.2,2,5.0,2.2
143,143,34,17.45,5,12.45,5.0
144,144,7,10.47,3,7.47,3.0
145,145,9,6.98,2,4.98,2.0
146,146,23,15.0,4,9.8,5.2
147,147,35,45.5,14,29.54,15.96
148,148,32,22.5,6,14.7,7.8
149,149,9,6.98,2,4.98,2.0
150,150,1,7.5,2,4.9,2.6
151,151,16,10.8,3,7.2,3.6
152,152,3,7.2,2,4.8,2.4
153,153,18,10.8,3,7.5,3.3
154,154,31,13.0,4,8.44,4.56
155,155,19,18.0,5,12.0,6.0
156,156,36,28.8,8,19.2,9.6
157,157,24,3.75,1,2.45,1.3
158,158,37,39.6,11,27.5,12.1
159,159,18,10.8,3,7.5,3.3
160,160,38,32.4,9,21.6,10.8
161,161,5,6.5,2,4.22,2.28
162,162,34,17.45,5,12.45,5.0
163,163,3,7.2,2,4.8,2.4
164,164,9,6.98,2,4.98,2.0
165,165,23,15.0,4,9.8,5.2
166,166,5,6.5,2,4.22,2.28
167,167,28,18.0,5,12.5,5.5
168,168,12,18.75,5,12.25,6.5
169,169,1,7.5,2,4.9,2.6
170,170,19,18.0,5,12.0,6.0
171,171,9,6.98,2,4.98,2.0
172,172,39,3.25,1,2.11,1.14
173,173,13,3.49,1,2.49,1.0
174,174,5,6.5,2,4.22,2.28
175,175,7,10.47,3,7.47,3.0
176,176,15,27.92,8,19.92,8.0
177,177,22,19.5,6,12.66,6.84
178,178,17,14.4,4,10.0,4.4
179,179,7,10.47,3,7.47,3.0
180,180,3,7.2,2,4.8,2.4
181,181,18,10.8,3,7.5,3.3
182,182,13,3.49,1,2.49,1.0
183,183,2,7.2,2,5.0,2.2
184,184,3,7.2,2,4.8,2.4
185,185,5,6.5,2,4.22,2.28
186,186,3,7.2,2,4.8,2.4
187,187,32,22.5,6,14.7,7.8
188,188,1,7.5,2,4.9,2.6
189,189,6,3.6,1,2.5,1.1
190,190,18,10.8,3,7.5,3.3
191,191,40,21.6,6,15.0,6.6
192,192,7,10.47,3,7.47,3.0
193,193,2,7.2,2,5.0,2.2
194,194,14,11.25,3,7.35,3.9
195,195,18,10.8,3,7.5,3.3
196,196,12,18.75,5,12.25,6.5
197,197,20,14.4,4,9.6,4.8
198,198,23,15.0,4,9.8,5.2
199,199,7,10.47,3,7.47,3.0
200,200,16,10.8,3,7.2,3.6
201,201,1,7.5,2,4.9,2.6
202,202,41,25.2,7,17.5,7.7
203,203,18,10.8,3,7.5,3.3
204,204,3,7.2,2,4.8,2.4
205,205,9,6.98,2,4.98,2.0
206,206,1,7.5,2,4.9,2.6
207,207,21,13.96,4,9.96,4.0
208,208,40,21.6,6,15.0,6.6
209,209,10,16.25,5,10.55,5.7
210,210,1,7.5,2,4.9,2.6
211,211,28,18.0,5,12.5,5.5
212,212,19,18.0,5,12.0,6.0
213,213,39,3.25,1,2.11,1.14
214,214,24,3.75,1,2.45,1.3
215,215,6,3.6,1,2.5,1.1
216,216,4,9.75,3,6.33,3.42
217,217,42,26.25,7,17.15,9.1
218,218,28,18.0,5,12.5,5.5
219,219,42,26.25,7,17.15,9.1
220,220,14,11.25,3,7.35,3.9
221,221,42,26.25,7,17.15,9.1
222,222,4,9.75,3,6.33,3.42
223,223,28,18.0,5,12.5,5.5
224,224,3,7.2,2,4.8,2.4
225,225,1,7.5,2,4.9,2.6
226,226,40,21.6,6,15.0,6.6
227,227,40,21.6,6,15.0,6.6
228,228,2,7.2,2,5.0,2.2
229,229,43,52.5,14,34.3,18.2
230,230,9,6.98,2,4.98,2.0
231,231,28,18.0,5,12.5,5.5
232,232,7,10.47,3,7.47,3.0
233,233,18,10.8,3,7.5,3.3
234,234,4,9.75,3,6.33,3.42
235,235,32,22.5,6,14.7,7.8
236,236,3,7.2,2,4.8,2.4
237,237,12,18.75,5,12.25,6.5
238,238,18,10.8,3,7.5,3.3
239,239,40,21.6,6,15.0,6.6
240,240,5,6.5,2,4.22,2.28
241,241,40,21.6,6,15.0,6.6
242,242,7,10.47,3,7.47,3.0
243,243,40,21.6,6,15.0,6.6
244,244,31,13.0,4,8.44,4.56
245,245,44,20.0,1,10.0,10.0
246,246,3,7.2,2,4.8,2.4
247,247,14,11.25,3,7.35,3.9
248,248,45,45.0,12,29.4,15.6
249,249,5,6.5,2,4.22,2.28
250,250,20,14.4,4,9.6,4.8
251,251,46,32.4,9,22.5,9.9
252,252,3,7.2,2,4.8,2.4
253,253,28,18.0,5,12.5,5.5
254,254,10,16.25,5,10.55,5.7
255,255,34,17.45,5,12.45,5.0
256,256,18,10.8,3,7.5,3.3
257,257,47,35.75,11,23.21,12.54
258,258,28,18.0,5,12.5,5.5
259,259,4,9.75,3,6.33,3.42
260,260,5,6.5,2,4.22,2.28
261,261,4,9.75,3,6.33,3.42
262,262,9,6.98,2,4.98,2.0
263,263,20,14.4,4,9.6,4.8
264,264,43,52.5,14,34.3,18.2
265,265,48,22.75,7,14.77,7.98
266,266,1,7.5,2,4.9,2.6
267,267,1,7.5,2,4.9,2.6
268,268,18,10.8,3,7.5,3.3
269,269,49,12.5,10,6.5,6.0
270,270,42,26.25,7,17.15,9.1
271,271,23,15.0,4,9.8,5.2
272,272,6,3.6,1,2.5,1.1
273,273,41,25.2,7,17.5,7.7
274,274,3,7.2,2,4.8,2.4
275,275,14,11.25,3,7.35,3.9
276,276,5,6.5,2,4.22,2.28
277,277,2,7.2,2,5.0,2.2
278,278,3,7.2,2,4.8,2.4
279,279,50,8.75,7,4.55,4.2
280,280,7,10.47,3,7.47,3.0
281,281,16,10.8,3,7.2,3.6
282,282,51,40.0,2,20.0,20.0
283,283,23,15.0,4,9.8,5.2
284,284,32,22.5,6,14.7,7.8
285,285,4,9.75,3,6.33,3.42
286,286,3,7.2,2,4.8,2.4
287,287,52,60.0,3,30.0,30.0
288,288,53,33.75,9,22.05,11.7
289,289,3,7.2,2,4.8,2.4
290,290,5,6.5,2,4.22,2.28
291,291,31,13.0,4,8.44,4.56
292,292,16,10.8,3,7.2,3.6
293,293,28,18.0,5,12.5,5.5
294,294,5,6.5,2,4.22,2.28
295,295,23,15.0,4,9.8,5.2
296,296,54,26.0,8,16.88,9.12
297,297,5,6.5,2,4.22,2.28
298,298,17,14.4,4,10.0,4.4
299,299,20,14.4,4,9.6,4.8
300,300,7,10.47,3,7.47,3.0
301,301,9,6.98,2,4.98,2.0
302,302,31,13.0,4,8.44,4.56
303,303,5,6.5,2,4.22,2.28
304,304,16,10.8,3,7.2,3.6
305,305,12,18.75,5,12.25,6.5
306,306,27,3.6,1,2.4,1.2
307,307,55,24.43,7,17.43,7.0
308,308,16,10.8,3,7.2,3.6
309,309,17,14.4,4,10.0,4.4
310,310,14,11.25,3,7.35,3.9
311,311,16,10.8,3,7.2,3.6
312,312,56,29.25,9,18.99,10.26
313,313,27,3.6,1,2.4,1.2
314,314,39,3.25,1,2.11,1.14
315,315,28,18.0,5,12.5,5.5
316,316,57,36.0,10,25.0,11.0
317,317,15,27.92,8,19.92,8.0
318,318,21,13.96,4,9.96,4.0
319,319,18,10.8,3,7.5,3.3
320,320,32,22.5,6,14.7,7.8
321,321,31,13.0,4,8.44,4.56
322,322,6,3.6,1,2.5,1.1
323,323,4,9.75,3,6.33,3.42
324,324,5,6.5,2,4.22,2.28
325,325,55,24.43,7,17.43,7.0
326,326,21,13.96,4,9.96,4.0
327,327,3,7.2,2,4.8,2.4
328,328,55,24.43,7,17.43,7.0
329,329,55,24.43,7,17.43,7.0
330,330,18,10.8,3,7.5,3.3
331,331,18,10.8,3,7.5,3.3
332,332,9,6.98,2,4.98,2.0
333,333,19,18.0,5,12.0,6.0
334,334,10,16.25,5,10.55,5.7
335,335,7,10.47,3,7.47,3.0
336,336,58,26.0,8,2.0,24.0
337,337,59,21.6,6,14.4,7.2
338,338,51,40.0,2,20.0,20.0
339,339,21,13.96,4,9.96,4.0
340,340,18,10.8,3,7.5,3.3
341,341,14,11.25,3,7.35,3.9
342,342,1,7.5,2,4.9,2.6
343,343,60,31.41,9,22.41,9.0
344,344,48,22.75,7,14.77,7.98
345,345,48,22.75,7,14.77,7.98
346,346,3,7.2,2,4.8,2.4
347,347,2,7.2,2,5.0,2.2
348,348,28,18.0,5,12.5,5.5
349,349,5,6.5,2,4.22,2.28
350,350,3,7.2,2,4.8,2.4
351,351,5,6.5,2,4.22,2.28
352,352,61,36.0,10,24.0,12.0
353,353,7,10.47,3,7.47,3.0
354,354,62,16.25,5,1.25,15.0
355,355,16,10.8,3,7.2,3.6
356,356,42,26.25,7,17.15,9.1
357,357,28,18.0,5,12.5,5.5
358,358,2,7.2,2,5.0,2.2
359,359,2,7.2,2,5.0,2.2
360,360,20,14.4,4,9.6,4.8
361,361,20,14.4,4,9.6,4.8
362,362,7,10.47,3,7.47,3.0
363,363,13,3.49,1,2.49,1.0
364,364,63,30.0,8,19.6,10.4
365,365,7,10.47,3,7.47,3.0
366,366,20,14.4,4,9.6,4.8
367,367,55,24.43,7,17.43,7.0
368,368,34,17.45,5,12.45,5.0
369,369,23,15.0,4,9.8,5.2
370,370,23,15.0,4,9.8,5.2
371,371,31,13.0,4,8.44,4.56
372,372,51,40.0,2,20.0,20.0
373,373,18,10.8,3,7.5,3.3
374,374,4,9.75,3,6.33,3.42
375,375,12,18.75,5,12.25,6.5
376,376,23,15.0,4,9.8,5.2
377,377,64,13.0,4,1.0,12.0
378,378,12,18.75,5,12.25,6.5
379,379,18,10.8,3,7.5,3.3
380,380,11,20.94,6,14.94,6.0
381,381,3,7.2,2,4.8,2.4
382,382,2,7.2,2,5.0,2.2
383,383,3,7.2,2,4.8,2.4
384,384,3,7.2,2,4.8,2.4
385,385,55,24.43,7,17.43,7.0
386,386,28,18.0,5,12.5,5.5
387,387,39,3.25,1,2.11,1.14
388,388,23,15.0,4,9.8,5.2
389,389,10,16.25,5,10.55,5.7
390,390,34,17.45,5,12.45,5.0
391,391,1,7.5,2,4.9,2.6
392,392,5,6.5,2,4.22,2.28
393,393,28,18.0,5,12.5,5.5
394,394,1,7.5,2,4.9,2.6
395,395,32,22.5,6,14.7,7.8
396,396,9,6.98,2,4.98,2.0
397,397,9,6.98,2,4.98,2.0
398,398,12,18.75,5,12.25,6.5
399,399,4,9.75,3,6.33,3.42
400,400,54,26.0,8,16.88,9.12
401,401,34,17.45,5,12.45,5.0
402,402,40,21.6,6,15.0,6.6
403,403,56,29.25,9,18.99,10.26
404,404,18,10.8,3,7.5,3.3
405,405,34,17.45,5,12.45,5.0
406,406,54,26.0,8,16.88,9.12
407,407,2,7.2,2,5.0,2.2
408,408,14,11.25,3,7.35,3.9
409,409,2,7.2,2,5.0,2.2
410,410,16,10.8,3,7.2,3.6
411,411,23,15.0,4,9.8,5.2
412,412,10,16.25,5,10.55,5.7
413,413,19,18.0,5,12.0,6.0
414,414,13,3.49,1,2.49,1.0
415,415,1,7.5,2,4.9,2.6
416,416,3,7.2,2,4.8,2.4
417,417,8,25.2,7,16.8,8.4
418,418,7,10.47,3,7.47,3.0
419,419,28,18.0,5,12.5,5.5
420,420,13,3.49,1,2.49,1.0
421,421,48,22.75,7,14.77,7.98
422,422,4,9.75,3,6.33,3.42
423,423,28,18.0,5,12.5,5.5
424,424,7,10.47,3,7.47,3.0
425,425,28,18.0,5,12.5,5.5
426,426,14,11.25,3,7.35,3.9
427,427,5,6.5,2,4.22,2.28
428,428,39,3.25,1,2.11,1.14
429,429,36,28.8,8,19.2,9.6
430,430,58,26.0,8,2.0,24.0
431,431,65,34.9,10,24.9,10.0
432,432,32,22.5,6,14.7,7.8
433,433,32,22.5,6,14.7,7.8
434,434,41,25.2,7,17.5,7.7
435,435,3,7.2,2,4.8,2.4
436,436,4,9.75,3,6.33,3.42
437,437,18,10.8,3,7.5,3.3
438,438,3,7.2,2,4.8,2.4
439,439,10,16.25,5,10.55,5.7
440,440,14,11.25,3,7.35,3.9
441,441,12,18.75,5,12.25,6.5
442,442,59,21.6,6,14.4,7.2
443,443,23,15.0,4,9.8,5.2
444,444,16,10.8,3,7.2,3.6
445,445,21,13.96,4,9.96,4.0
446,446,56,29.25,9,18.99,10.26
447,447,21,13.96,4,9.96,4.0
448,448,19,18.0,5,12.0,6.0
449,449,16,10.8,3,7.2,3.6
450,450,28,18.0,5,12.5,5.5
451,451,16,10.8,3,7.2,3.6
452,452,31,13.0,4,8.44,4.56
453,453,6,3.6,1,2.5,1.1
454,454,2,7.2,2,5.0,2.2
455,455,13,3.49,1,2.49,1.0
456,456,34,17.45,5,12.45,5.0
457,457,39,3.25,1,2.11,1.14
458,458,66,1.25,1,0.65,0.6
459,459,63,30.0,8,19.6,10.4
460,460,32,22.5,6,14.7,7.8
461,461,17,14.4,4,10.0,4.4
462,462,28,18.0,5,12.5,5.5
463,463,1,7.5,2,4.9,2.6
464,464,22,19.5,6,12.66,6.84
465,465,2,7.2,2,5.0,2.2
466,466,2,7.2,2,5.0,2.2
467,467,34,17.45,5,12.45,5.0
468,468,12,18.75,5,12.25,6.5
469,469,19,18.0,5,12.0,6.0
470,470,7,10.47,3,7.47,3.0
471,471,42,26.25,7,17.15,9.1
472,472,9,6.98,2,4.98,2.0
473,473,28,18.0,5,12.5,5.5
474,474,11,20.94,6,14.94,6.0
475,475,7,10.47,3,7.47,3.0
476,476,38,32.4,9,21.6,10.8
477,477,21,13.96,4,9.96,4.0
478,478,11,20.94,6,14.94,6.0
479,479,18,10.8,3,7.5,3.3
480,480,67,2.5,2,1.3,1.2
481,481,40,21.6,6,15.0,6.6
482,482,2,7.2,2,5.0,2.2
483,483,12,18.75,5,12.25,6.5
484,484,20,14.4,4,9.6,4.8
485,485,14,11.25,3,7.35,3.9
486,486,10,16.25,5,10.55,5.7
487,487,4,9.75,3,6.33,3.42
488,488,16,10.8,3,7.2,3.6
489,489,12,18.75,5,12.25,6.5
490,490,34,17.45,5,12.45,5.0
491,491,68,6.25,5,3.25,3.0
492,492,2,7.2,2,5.0,2.2
493,493,20,14.4,4,9.6,4.8
494,494,59,21.6,6,14.4,7.2
495,495,8,25.2,7,16.8,8.4
496,496,5,6.5,2,4.22,2.28
497,497,5,6.5,2,4.22,2.28
498,498,17,14.4,4,10.0,4.4
499,499,2,7.2,2,5.0,2.2
500,500,9,6.98,2,4.98,2.0
501,501,56,29.25,9,18.99,10.26
502,502,5,6.5,2,4.22,2.28
503,503,7,10.47,3,7.47,3.0
504,504,12,18.75,5,12.25,6.5
505,505,18,10.8,3,7.5,3.3
506,506,41,25.2,7,17.5,7.7
507,507,17,14.4,4,10.0,4.4
508,508,67,2.5,2,1.3,1.2
509,509,69,39.6,11,26.4,13.2
510,510,18,10.8,3,7.5,3.3
511,511,4,9.75,3,6.33,3.42
512,512,4,9.75,3,6.33,3.42
513,513,31,13.0,4,8.44,4.56
514,514,14,11.25,3,7.35,3.9
515,515,14,11.25,3,7.35,3.9
516,516,22,19.5,6,12.66,6.84
517,517,5,6.5,2,4.22,2.28
518,518,32,22.5,6,14.7,7.8
519,519,1,7.5,2,4.9,2.6
520,520,19,18.0,5,12.0,6.0
521,521,7,10.47,3,7.47,3.0
522,522,2,7.2,2,5.0,2.2
523,523,13,3.49,1,2.49,1.0
524,524,28,18.0,5,12.5,5.5
525,525,1,7.5,2,4.9,2.6
526,526,3,7.2,2,4.8,2.4
527,527,23,15.0,4,9.8,5.2
528,528,37,39.6,11,27.5,12.1
529,529,5,6.5,2,4.22,2.28
530,530,24,3.75,1,2.45,1.3
531,531,3,7.2,2,4.8,2.4
532,532,20,14.4,4,9.6,4.8
533,533,21,13.96,4,9.96,4.0
534,534,21,13.96,4,9.96,4.0
535,535,14,11.25,3,7.35,3.9
536,536,34,17.45,5,12.45,5.0
537,537,59,21.6,6,14.4,7.2
538,538,59,21.6,6,14.4,7.2
539,539,16,10.8,3,7.2,3.6
540,540,3,7.2,2,4.8,2.4
541,541,20,14.4,4,9.6,4.8
542,542,70,6.5,2,0.5,6.0
543,543,28,18.0,5,12.5,5.5
544,544,18,10.8,3,7.5,3.3
545,545,39,3.25,1,2.11,1.14
546,546,71,6.0,4,2.8,3.2
547,547,24,3.75,1,2.45,1.3
548,548,7,10.47,3,7.47,3.0
549,549,23,15.0,4,9.8,5.2
550,550,18,10.8,3,7.5,3.3
551,551,5,6.5,2,4.22,2.28
552,552,36,28.8,8,19.2,9.6
553,553,48,22.75,7,14.77,7.98
554,554,72,48.86,14,34.86,14.0
555,555,23,15.0,4,9.8,5.2
556,556,42,26.25,7,17.15,9.1
557,557,2,7.2,2,5.0,2.2
558,558,1,7.5,2,4.9,2.6
559,559,19,18.0,5,12.0,6.0
560,560,18,10.8,3,7.5,3.3
561,561,8,25.2,7,16.8,8.4
562,562,7,10.47,3,7.47,3.0
563,563,22,19.5,6,12.66,6.84
564,564,56,29.25,9,18.99,10.26
565,565,14,11.25,3,7.35,3.9
566,566,6,3.6,1,2.5,1.1
567,567,56,29.25,9,18.99,10.26
568,568,3,7.2,2,4.8,2.4
569,569,21,13.96,4,9.96,4.0
570,570,27,3.6,1,2.4,1.2
571,571,24,3.75,1,2.45,1.3
572,572,5,6.5,2,4.22,2.28
573,573,4,9.75,3,6.33,3.42
574,574,24,3.75,1,2.45,1.3
575,575,7,10.47,3,7.47,3.0
576,576,14,11.25,3,7.35,3.9
577,577,10,16.25,5,10.55,5.7
578,578,14,11.25,3,7.35,3.9
579,579,18,10.8,3,7.5,3.3
580,580,13,3.49,1,2.49,1.0
581,581,23,15.0,4,9.8,5.2
582,582,16,10.8,3,7.2,3.6
583,583,4,9.75,3,6.33,3.42
584,584,14,11.25,3,7.35,3.9
585,585,31,13.0,4,8.44,4.56
586,586,34,17.45,5,12.45,5.0
587,587,18,10.8,3,7.5,3.3
588,588,5,6.5,2,4.22,2.28
589,589,17,14.4,4,10.0,4.4
590,590,17,14.4,4,10.0,4.4
591,591,3,7.2,2,4.8,2.4
592,592,9,6.98,2,4.98,2.0
593,593,1,7.5,2,4.9,2.6
594,594,16,10.8,3,7.2,3.6
595,595,40,21.6,6,15.0,6.6
596,596,24,3.75,1,2.45,1.3
597,597,22,19.5,6,12.66,6.84
598,598,1,7.5,2,4.9,2.6
599,599,24,3.75,1,2.45,1.3
600,600,18,10.8,3,7.5,3.3
601,601,6,3.6,1,2.5,1.1
602,602,22,19.5,6,12.66,6.84
603,603,9,6.98,2,4.98,2.0
604,604,3,7.2,2,4.8,2.4
605,605,54,26.0,8,16.88,9.12
606,606,55,24.43,7,17.43,7.0
607,607,18,10.8,3,7.5,3.3
608,608,46,32.4,9,22.5,9.9
609,609,3,7.2,2,4.8,2.4
610,610,1,7.5,2,4.9,2.6
611,611,56,29.25,9,18.99,10.26
612,612,7,10.47,3,7.47,3.0
613,613,19,18.0,5,12.0,6.0
614,614,1,7.5,2,4.9,2.6
615,615,3,7.2,2,4.8,2.4
616,616,20,14.4,4,9.6,4.8
617,617,7,10.47,3,7.47,3.0
618,618,34,17.45,5,12.45,5.0
619,619,7,10.47,3,7.47,3.0
620,620,20,14.4,4,9.6,4.8
621,621,42,26.25,7,17.15,9.1
622,622,14,11.25,3,7.35,3.9
623,623,27,3.6,1,2.4,1.2
624,624,34,17.45,5,12.45,5.0
625,625,34,17.45,5,12.45,5.0
626,626,7,10.47,3,7.47,3.0
627,627,55,24.43,7,17.43,7.0
628,628,41,25.2,7,17.5,7.7
629,629,23,15.0,4,9.8,5.2
630,630,17,14.4,4,10.0,4.4
631,631,25,3.75,3,1.95,1.8
632,632,70,6.5,2,0.5,6.0
633,633,21,13.96,4,9.96,4.0
634,634,2,7.2,2,5.0,2.2
635,635,2,7.2,2,5.0,2.2
636,636,38,32.4,9,21.6,10.8
637,637,2,7.2,2,5.0,2.2
638,638,73,13.75,11,7.15,6.6
639,639,3,7.2,2,4.8,2.4
640,640,1,7.5,2,4.9,2.6
641,641,22,19.5,6,12.66,6.84
642,642,34,17.45,5,12.45,5.0
643,643,9,6.98,2,4.98,2.0
644,644,48,22.75,7,14.77,7.98
645,645,14,11.25,3,7.35,3.9
646,646,41,25.2,7,17.5,7.7
647,647,7,10.47,3,7.47,3.0
648,648,17,14.4,4,10.0,4.4
649,649,4,9.75,3,6.33,3.42
650,650,20,14.4,4,9.6,4.8
651,651,27,3.6,1,2.4,1.2
652,652,13,3.49,1,2.49,1.0
653,653,42,26.25,7,17.15,9.1
654,654,18,10.8,3,7.5,3.3
655,655,4,9.75,3,6.33,3.42
656,656,18,10.8,3,7.5,3.3
657,657,1,7.5,2,4.9,2.6
658,658,16,10.8,3,7.2,3.6
659,659,18,10.8,3,7.5,3.3
660,660,5,6.5,2,4.22,2.28
661,661,12,18.75,5,12.25,6.5
662,662,11,20.94,6,14.94,6.0
663,663,14,11.25,3,7.35,3.9
664,664,2,7.2,2,5.0,2.2
665,665,10,16.25,5,10.55,5.7
666,666,59,21.6,6,14.4,7.2
667,667,4,9.75,3,6.33,3.42
668,668,3,7.2,2,4.8,2.4
669,669,2,7.2,2,5.0,2.2
670,670,7,10.47,3,7.47,3.0
671,671,2,7.2,2,5.0,2.2
672,672,4,9.75,3,6.33,3.42
673,673,13,3.49,1,2.49,1.0
674,674,32,22.5,6,14.7,7.8
675,675,5,6.5,2,4.22,2.28
676,676,22,19.5,6,12.66,6.84
677,677,4,9.75,3,6.33,3.42
678,678,74,100.0,5,50.0,50.0
679,679,9,6.98,2,4.98,2.0
680,680,7,10.47,3,7.47,3.0
681,681,4,9.75,3,6.33,3.42
682,682,16,10.8,3,7.2,3.6
683,683,18,10.8,3,7.5,3.3
684,684,3,7.2,2,4.8,2.4
685,685,28,18.0,5,12.5,5.5
686,686,14,11.25,3,7.35,3.9
687,687,2,7.2,2,5.0,2.2
688,688,75,3.25,1,0.25,3.0
689,689,18,10.8,3,7.5,3.3
690,690,16,10.8,3,7.2,3.6
691,691,21,13.96,4,9.96,4.0
692,692,14,11.25,3,7.35,3.9
693,693,27,3.6,1,2.4,1.2
694,694,6,3.6,1,2.5,1.1
695,695,5,6.5,2,4.22,2.28
696,696,1,7.5,2,4.9,2.6
697,697,7,10.47,3,7.47,3.0
